sentence_id	sentence	locale	reason
f66d73de2a161ffa282746e7875fdaa0691aff960fe65bb549c8e24cf960ae1d	Sepe represented Yugoslavia two times as composer.	en	different-language
f658f4fa92c31f11afdec1471651d2c07472bffbe95e087a92de731241625b94	Wells's "The Land Ironclads".	en	offensive-language
f658f4fa92c31f11afdec1471651d2c07472bffbe95e087a92de731241625b94	Wells's "The Land Ironclads".	en	different-language
f658f4fa92c31f11afdec1471651d2c07472bffbe95e087a92de731241625b94	Wells's "The Land Ironclads".	en	difficult-pronunciation
f664cb31428e6bd0ee545627865fb70911728549ca95850e72b9818c4cb1df00	This concept is based on the boundaries of the Balkan peninsula.	en	different-language
f664cb31428e6bd0ee545627865fb70911728549ca95850e72b9818c4cb1df00	This concept is based on the boundaries of the Balkan peninsula.	en	difficult-pronunciation
f664cb31428e6bd0ee545627865fb70911728549ca95850e72b9818c4cb1df00	This concept is based on the boundaries of the Balkan peninsula.	en	d dvdvffntnt
045ab59c324b08ced58c288b5a0e0421a76a7cb1d0d94e975889ddf7853a4575	Often I see children playing lacrosse on a football field near me.	en	asdasda
098ba867428b290d261ae8f0ef5cf5cfea4658081d75d3f2a6d778327ce82136	If manners maketh man, then manner and grooming maketh poodle.	en	asdasdas
0fdfb5649366dc2574c9f9a065a900e1df0693c80ae828c5347e430df4d98619	The role of the teacher in supporting a collaborative online learning process.	en	not a full sentence
0f2e2ef75f4d7a10add3b0cbf004c41c5f55f52f96cebd7daf1d52cea67bd4be	A supermarket is the place when you can buy all the things you	en	not a full sentence
12c2bbab4d30b335f30be376845264d5e956ff4414bdd892997cbbb602be820c	Tokyo in the building, holding it down for my city.	en	grammar-or-spelling
f6934a711e56c64c9d182d074de5bd60bd9c5b7cf3fa67aa14b6415b00f33236	The "vxstat" command can be used to show this information instead.	en	non-legible jargon
141f686ec812040ad14317ae009b37dab3b8996d8539b88d3fe7b92a070d9854	Her anxiety made him difficult to concentrate on the main idea.	en	grammar-or-spelling
15a19546347aa915e307afd02fc423ad3ad4183eabbbb7fc764bec574dc68a5b	I am be happy to see my friends and spend quality time with them.	en	grammar-or-spelling
f6998d8c9babd171e6066ca40f1ca2d8f89dc2087ca6ab723ccfc03122c0ebd3	E. Wilson sporting goods company.	en	Not a sentence - partial phrase only.
f68fb871a027f4d641117a0089c4c1d538728b76a8e303d1b403265d364c0d96	There have been a total of episodes during the show's ten seasons.	en	grammar-or-spelling
1062c6eeb764e4a060b21bc2676f92c562f1a4fb668ca2b6c7c0bfd5ae65047d	"Intellectual Life in Medieval Europe" by Marcia Colish	en	Not a sentence - partial phrase only.
f697e2612ffba5c7e22490130029113ea40472ae02b634c45683464eda2c138d	Brown of Hilton Hotels, Timothy V. Wolf of MillerCoors, and Dan Rose of Facebook.	en	Not a sentence - partial phrase only
f6ba1567920be990ad07f3dc6ee711af75ef58704c0d70e2db27ee2509510b6e	The center had support groups for homosexuals, transsexuals, sadomasochists and pedophiles.	en	offensive-language
f6c4396af3763f92d7a5be47ae1de7c90a3d851ebd49a3c48f99d034ebf75cde	The glucuronidation of the drug in the kidney also facilitates bile excretion.	en	difficult-pronounce
f6b51b0d9fce369b2fd5540f894b66258579c7d29e3b2ca8a22f6f3690b9e088	Studies show the "Todus" group probably developed before the Pleistocene.	en	difficult-pronounce
023ebbb3bac25075d961103742479496a31e34f2d5f68c8518a492d430dee1d5	Iśqe śahinśaale ruhaani mazaṅ bican 	en	sc-different-language
0519a19be3475e9d73a108f2688ad7af7efc4c368bd53ef69c0f3829fd117533	Sateeś etumana?	en	sc-different-language
0682562a8fdf88c359d791962245aa19b0757a3bcefe3dc4dfdfe8c06d5c3bbc	Jeymo yaraanmo parwaana amanṣa nuse buyat etabaa.	en	sc-different-language
0c3d90720872266715b4dd19dcaa492b94555d04dd17936e04e62a1604450908	Ṭok jaṅal ce pʰu cʰibila.	en	sc-different-language
0f06ae0b8c05f8fc659afd4079cc1db203f471badbb640ae4026b9ede799ee62	Un jaar buṭ uyam baa.	en	sc-different-language
18fdf905905bb0808becfeac24cefd2b397088a9fedef9794a2651de89e21a0b	Ayaś cum yate ke han ayaśan meyimi.	en	sc-different-language
193b6d43e014169bb81913cd8a64cb65d0c9ac9e523a5da2124b4178ce579a28	his actions today will prevent the next Administration from carrying out the execution sentences.	en	grammar-or-spelling
1942738250ee497ee6c5fcb5f7b162003d8679337b713988d3efc6bf29f1609b	The doors to the concert room look like a pig mask	en	grammar-or-spelling
1a32fac0e31e4410fedf13a584a296efab1256a0b1d03bcd518ef92831c3742b	Wrap dill havarti in puff pasty, drizzle a little mustard, bake until golden brown.	en	sc-different-language
1a733351ad40605671c511c161f5711d42f4c834f1caade028b79ed9b8e9649f	swung west across the Mediterranean to the Straits of Gibraltar.	en	grammar-or-spelling
f6cd2692ad6171ba98f95d24f26312c67d6fea6aece7e087bf9a213e67cb23cd	Belemnoids possessed a central phragmocone made of aragonite and with negative buoyancy.	en	difficult-pronounce
f6e189f486e3d9dbb943d7ce099ac82cb4a7c6890fbc75aab5d27539fb54c368	Comments were posted under the heading Has the Sydney Paralympics been a success?	en	grammar-or-spelling
f6ef3a429252cdb234726ab1e1eb1844b62a769f89ece668bf00d229155eb7e9	Narrow-gauge railways serving private estates.	en	Not a sentence - partial phrase only.
f6c22d8cf4bce401ee5e7feeffa1ebed44cb42467436126585d32bc8bf9b2da3	It is high, and measures by on plan.	en	grammar-or-spelling
f6d055fa15ed81da69c04e22d4e8f1fb52263e6c96dd3bee77537d32eb60e1f7	Columbo.	en	Not a sentence - partial phrase only.
f6d319c18aadeaffdafe848b2173e6213e21e31bceee1a333cef61fd1c349615	Smith, in the house of Robert Wilkinson, a printseller in Cornhill.	en	Not a sentence - partial phrase only.
f6f041dae89a0fa7a95294d8b3f0d8f62320c44b96f61f1f2dcb5dadf95e29a3	Tolkien's fantasy series, "The Lord of the Rings".	en	Not a sentence - partial phrase only.
f6e8d4774673738e73fc0be4420e1e66342434304eeb4dac8f556259a3044dca	Allison, Sonny Curtis, Glen D. Hardin, and occasionally Niki Sullivan.	en	Not a sentence - just a list
f6ba1567920be990ad07f3dc6ee711af75ef58704c0d70e2db27ee2509510b6e	The center had support groups for homosexuals, transsexuals, sadomasochists and pedophiles.	en	offensive-language
f705ac425d3c8c6ba65a85bc5a4b56d21a8b4ab66093cbfe6060b3c438e018a2	It is a well-ordering iff the tree is well-founded.	en	grammar-or-spelling
f711a9dd369f01521b875d1a80155cb329e1ab874250b6b8e9f98350e9a99095	The ScC members term of office lasts four years.	en	difficult-pronounce
f7093ad3744137cee720c3d427f92b11c7637adfc95d5b1a062967751f73c7a7	This award is give to recognize lifetime achievement in the field of genetics.	en	grammar-or-spelling
f6fd86cfdb9acf485b6d6f0f8fd573dc33372f5250bdba71eb78f2a5351a1ce2	An epithelial defect may be present, usually in the inferior interpalpebral zone.	en	difficult-pronounce
f70c226914cac015007841b90f4549d169cd3f2f168fd6a9d78e99a57f459892	Source: "Eight Lives Down", memoir by Christopher Hunter.	en	Not a sentence - partial phrase only
f7069a5d26c7ce0dd8b4037c2975c619500133d15f5862cac1d87c9d0c66dced	Verizon Financial Center.	en	Not a sentence - partial phrase only
f7063cf34aa3ddb3a43d229761ee3459d2db3307a0ffcdde0baad70bfae86aa8	After the war, continued as a career soldier.	en	grammar-or-spelling
f70daf91b7d3a6041966eb93becbbe10b7729516e4a0b18575cec8d2a40f5eff	Middleton and James Atty.	en	Not a sentence - partial phrase only
f7132fbd8f6c386461502dac8573b2de5a0414b0397bfaeac906602253837729	Voluntarily joined the Red Army.	en	Not a sentence - partial phrase only
f7128fec340a6121f8bfa548ea9bbecc2f55dcc4328d3ecb79abaf6d4d2bbb3c	He won two challengers event and two finals in challengers event that year.	en	grammar-or-spelling
f70ca0d360bad43b0f23c46afc94dd439dbf6dd792e61114ed7e8538f201f78c	"Wisconsin"s next operation was to assist with the occupation of Luzon.	en	grammar-or-spelling
f7105312ea96f5c058d5c059e4b98b6196065d3ca49417ef67a839f915c42a90	A calm, flat river, heavily regulated by dams, navigable in places from Tambov itself.	en	Not a sentence - partial phrase only
f6eb963160358c66dba03ad4299834015f1dc7fc6abdc4b5d3452f6702e668c4	Three trim levels are offered ay launch.	en	grammar-or-spelling
0c74ce711cc56dff9adfd236bac5e92741c5aad563bf4869294430be4366a9de	Warwa nguwo ra marasi kwa kidali.	en	sc-different-language
0e02fb75126c752ad5d1db3faa587ee5ce808f03d8edff953ab81bef48b95785	W’uja kindo chikubonyere kutane na migho nikii?	en	sc-different-language
f71414466e377f0ec089e2ec3687bf43883c832550217e6358e83ad586b671be	Assam Rifles and Special Frontier Force.	en	Not a sentence - partial phrase only.
f71ada1a6b90f28db9e5e48b4e4b7b8912df81ea40235b524f894492cdfdd053	Barber later took over maintenance responsibility for "rn" itself from Larry Wall.	en	difficult-pronounce
f712138f3ae5428bc255624d165a09d2e847127bc2e9aad06db12d79ecaddbba	Sustainable development are one of their key issues.	en	grammar-or-spelling
f71eb35f7ad9580f3ae3885f1725d8d9d04bbc235caf78faeb5485035e7d442a	"Baseball:" Midland High has a historically excellent program with numerous state championships.	en	Not a sentence - partial phrase only.
f71bb1713a55ceb0c17d04818443b18630261eafd8002f0265a38537e25880ce	Target Identification for Antibacterial and Antifungal Drug Discovery.	en	Not a sentence - partial phrase only.
f715ad8e2fb0d516fea14965b285258c2b5fd233b818884c7832d2423c1d161a	Or HaGanuz Boutique Winery is also located there.	en	difficult-pronounce
f71bb370f7ef10ff662269252998f0044ece0f9e50d1eb861156bc2b166bdf4e	Aaronites were a family within the tribe of Levi.	en	different-language
f71f93eb5341bf8d93f54d6e01faa761779b4a39e24ac91866c3be2ff475a66f	The monument is inscribed on Malay and English.	en	grammar-or-spelling
f6e3e22fad75aee17e7517590d9a56bdc0a859f3469c20c2b8a833417c1cb887	The Northern European ports included, Rotterdam The Netherlands, Bremen Germany and Bergen Norway.	en	grammar-or-spelling
f72513a5e7fdb975ed56330207e3bae2d08500387c15ae21093a8c926f810083	In the period leading up to the vote, McRae was implicated in email incident.	en	grammar-or-spelling
1a9b09237f570fc1644c9bd48f1777771e339130ad98185ec12c5649e455e2f1	Do you think our appearance reflects the life that we have led?	en	offensive-language
f728614030a61e48cc99d2916f46215fa97bc29eb07dcf20513d3428a2386e13	Government People automatic aggregator of all Russian officials blogs.	en	grammar-or-spelling
f73874863ae14ab5376397e2bd51eb5b838608c7df145242bd02bbe48c07b112	Incorporated and directed by Sander's mother, Mary Jane Wells.	en	Not a sentence - partial phrase only.
f71f9f1536139a646cbe9d74a0f39969e9ccb169f58d1c71e015e1a5d4472643	The nearest secondary schools is in Childers (Isis District State High School).	en	grammar-or-spelling
f71af8562dc0cef4f2dba6c29b99fae48d979763ed6cad882018ee21fc3c8780	In First World War it was used as a transit depot.	en	grammar-or-spelling
f7268858a70dbee04cdf5ecae143439c848d0010306d8b0ace2672769222be5c	The Mayor of Changsha is the chief executive officer of the city.	en	different-language
f7384b549c5600ec58f4892f6edf4904994c994acbc686dbf58769fa617be04a	Bild und Theologie bei Meister Eckhart"".	en	different-language
f74d5213998bf0d320b39ced45273a3ef82c501cd00d37f92ec579638a5ae030	Despite may obstacles, the Illusion has survived and thrived in Erie.	en	grammar-or-spelling
f74f4790c7430fb2217199d86fc0ac594a71d2ea6b30bc03da0c4aade1a0bd84	Ventrum and thorax orange yellow.	en	grammar-or-spelling
f74dce132ad43d49b3e5c7600ffb7aa3f2c17a0874fce76c075db13d9b0f41be	The writing system is an abugida system using consonant-vowel combinations.	en	difficult-pronounce
f7708dca3d0726b27b86d6f4da4d6db171f1afbc47f2cc5100879ed9b0a22db9	It is also available via autoweek dot com and on the iPad.	en	difficult-pronounce
f76d5039273c415e81351aa3cea396565d2490782e80612d4afe17d0f249d67e	The narrow "Skarnsundet" is crossed by the Skarnsund Bridge.	en	difficult-pronounce
f759b8d963e77e49617189ff5cb702f0af4571f9335472d2646c494ae1beca7e	The school occupies approximately in Madison, Virginia.	en	grammar-or-spelling
f779b2d811740f292d7732711a2cbee202f2705203a1346fd66c9a4906260625	He received the honorary degree of Litt.	en	grammar-or-spelling
f74f4790c7430fb2217199d86fc0ac594a71d2ea6b30bc03da0c4aade1a0bd84	Ventrum and thorax orange yellow.	en	Not a sentence - partial phrase only.
f76a84a1bfaee19603c9f8c9ec4174d58d9fc3ddaa4c8cd7eb01063ee36af129	Misery.	en	Not a sentence - partial phrase only.
f77e05a0171768b6695bb46a007bf2a826796c6ebe62d70b0094004e8a4a6f81	The campaign for the local train service to be restored is continuing.	en	different-language
f7e0e9b1ef3642001164755555c0ba188533b27d245fffedaa6a1cfa80bb93d8	The area features five sandpit lakes, one of which is available for swimming.	en	offensive-language
f7e0e9b1ef3642001164755555c0ba188533b27d245fffedaa6a1cfa80bb93d8	The area features five sandpit lakes, one of which is available for swimming.	en	grammar-or-spelling
f7e0e9b1ef3642001164755555c0ba188533b27d245fffedaa6a1cfa80bb93d8	The area features five sandpit lakes, one of which is available for swimming.	en	different-language
f7e0e9b1ef3642001164755555c0ba188533b27d245fffedaa6a1cfa80bb93d8	The area features five sandpit lakes, one of which is available for swimming.	en	difficult-pronunciation
f7e34074dea335105633b6ae13b9f8a6f85b4b32c6467198707a45f1289943d3	Using the inverse Fourier transform, the inverse Radon transform formula can be easily derived.	en	different-language
f7cdbc47d1f84d9997bf9a83a5af7a1bac32690c8fd4cb4df76b63a01f51eaba	It is known for its Art Deco hotels.	en	different-language
f7e4746450921cceddcd8290ac054019ecc98f2b8dc52646fd5368f336016f52	Late that night, she entered "Busted Ship Bay" at Kerama Retto for repairs.	en	different-language
f7e83b010403484ae89c2e266c16392bd2a376026c5770ba66e7774eeb16abd5	These plots are or more in area.	en	different-language
f7ddfc5cc9735130ed0a2c17ee6cc08d9f0cd88d5c0505e99740a92d9e420974	But thank you for listening.	en	different-language
f7e1e43a8c8fa45a51a0a2236f0ba3ac4263787ad96432470523effde72d0ea6	Extended petals, yellow or with a blue-grey or brown spotted velvety macula.	en	different-language
f80f0d8f02be009fb7839c2e8ee91dec5a3c14eeb6d075cd1a0dcc4af7101da0	A recording of the broadest local speech is available on the British Library's website.	en	grammar-or-spelling
f82ecc53ad33c18e2767d8933f15f4182eec4f8fa0c6a016d9c60e8add5402fa	Then would then adjust the ammeter so its needle was centered in the display.	en	grammar-or-spelling
2265e57b5e5e962551de6a25d94e9be04e84fb86a297687a2855c3e174028308	I have been experiencing some sensitivity in my lower teeth.	en	difficult-pronounce
f87906642529ce19352c526fbbf3510eaa697ffc5e3b0081d6fb80115031e34a	Public pressure in villages often prevents the nomadic community from settling in village.	en	grammar-or-spelling
f883afbd51ca1760a1bf56742c03123addf8109a1230130c562e16a6c8c4837f	At the same time an underground extension to the Archives building were constructed.	en	grammar-or-spelling
f8795ad0a9c0f3a3a68fcc496c10cedd546753d6c90976927bae1f260610294b	Males may have a distinct pale "chevron" patterns on their backs.	en	grammar-or-spelling
f888733b222bd993288182c1c8ccb63fd952b03cf4a87f6c78d3a1cd0e2464ab	The bay is known for its many different whale, dolphins and bird species.	en	grammar-or-spelling
f8592a30abd0951956a325c17a991697198c4ffd95fd7016e69957e9baad52b7	Sri.	en	different-language
